日期,对手,比分,时间,投篮,命中率,三分,命中率,罚球,命中率,篮板,助攻,抢断,盖帽,失误,犯规,得分
2024-12-11,独行侠,104-118(胜),38,15-23,65.2%,5-9,55.6%,4-4,100%,8,5,3,1,2,3,39
2024-12-08,鹈鹕,119-109(胜),34,10-18,55.6%,1-3,33.3%,10-12,83.3%,2,4,0,0,4,5,31
2024-12-06,猛龙,129-92(胜),30,11-22,50.0%,1-10,10.0%,7-8,87.5%,4,5,2,1,2,2,30
2024-12-04,爵士,106-133(胜),30,11-19,57.9%,2-6,33.3%,2-2,100%,6,7,3,0,0,4,26
2024-12-02,火箭,116-119(败),36,10-19,52.6%,3-7,42.9%,9-11,81.8%,8,5,2,0,2,2,32
2024-11-30,湖人,101-93(胜),37,13-28,46.4%,3-10,30.0%,7-8,87.5%,6,9,2,1,3,3,36
2024-11-28,勇士,105-101(胜),39,13-28,46.4%,3-12,25.0%,6-10,60.0%,9,5,1,2,3,3,35
2024-11-26,国王,130-109(胜),35,13-20,65.0%,4-7,57.1%,7-11,63.6%,4,11,0,0,6,2,37
2024-11-21,开拓者,99-109(胜),39,7-19,36.8%,0-2,0%,14-14,100%,5,4,3,1,2,2,28
2024-11-20,马刺,104-110(败),37,11-20,55.0%,5-8,62.5%,5-6,83.3%,3,7,3,0,4,3,32
2024-11-18,独行侠,121-119(败),38,13-19,68.4%,1-1,100%,9-11,81.8%,2,8,2,2,1,1,36
2024-11-16,太阳,83-99(胜),33,11-25,44.0%,2-7,28.6%,4-4,100%,6,4,0,1,2,2,28
2024-11-14,鹈鹕,88-106(胜),33,12-25,48.0%,3-7,42.9%,2-3,66.7%,5,5,2,2,2,0,29
2024-11-12,快船,128-134(胜),39,13-21,61.9%,4-8,50.0%,15-16,93.8%,3,9,5,2,1,3,45
2024-11-11,勇士,127-116(败),34,6-17,35.3%,0-2,0%,12-14,85.7%,5,4,0,1,4,0,24
2024-11-09,火箭,107-126(胜),29,11-16,68.8%,1-2,50.0%,6-7,85.7%,5,4,1,1,3,2,29
2024-11-07,掘金,122-124(败),39,10-19,52.6%,0-3,0%,8-10,80.0%,2,6,1,1,8,1,28
2024-11-05,魔术,86-102(胜),35,8-16,50.0%,1-3,33.3%,4-4,100%,6,9,1,0,4,4,21
2024-11-03,快船,105-92(胜),31,7-14,50.0%,2-4,50.0%,9-9,100%,3,9,0,1,3,2,25
2024-11-02,开拓者,137-114(胜),28,12-18,66.7%,1-6,16.7%,5-6,83.3%,7,6,1,0,3,1,30
2024-10-31,马刺,93-105(胜),28,7-20,35.0%,2-10,20.0%,2-2,100%,4,5,1,0,1,1,18
2024-10-28,老鹰,104-128(胜),36,11-24,45.8%,3-8,37.5%,10-11,90.9%,11,9,3,3,1,3,35
2024-10-27,公牛,114-95(胜),29,9-21,42.9%,2-9,22.2%,3-3,100%,8,2,4,0,1,1,23
2024-10-25,掘金,102-87(胜),36,11-24,45.8%,2-6,33.3%,4-5,80.0%,7,8,2,3,2,2,28
