日期,对手,比分,时间,投篮,命中率,三分,命中率,罚球,命中率,篮板,助攻,抢断,盖帽,失误,犯规,得分
2024-11-27,太阳,100-127(败),35,7-16,43.8%,2-7,28.6%,2-2,100%,8,10,0,0,5,0,18
2024-11-24,掘金,127-102(败),35,7-17,41.2%,1-4,25.0%,3-3,100%,6,7,3,0,6,3,18
2024-11-22,魔术,119-118(败),37,12-22,54.5%,5-9,55.6%,2-4,50.0%,10,7,0,1,4,0,31
2024-11-20,爵士,118-124(胜),34,9-17,52.9%,1-5,20.0%,7-11,63.6%,2,12,0,0,4,1,26
2024-11-17,鹈鹕,104-99(胜),37,8-19,42.1%,2-7,28.6%,3-5,60.0%,7,5,1,0,6,1,21
2024-11-16,马刺,120-115(胜),38,6-12,50.0%,1-4,25.0%,2-4,50.0%,16,12,1,0,7,0,15
2024-11-14,灰熊,123-128(胜),37,13-22,59.1%,4-7,57.1%,5-8,62.5%,12,14,1,0,6,2,35
2024-11-11,猛龙,103-123(胜),35,6-14,42.9%,0-3,0%,7-7,100%,10,16,1,0,3,0,19
2024-11-09,76人,106-116(胜),34,9-14,64.3%,2-4,50.0%,1-1,100%,12,13,0,3,2,0,21
2024-11-07,灰熊,114-131(败),35,15-24,62.5%,6-11,54.5%,3-4,75.0%,7,6,1,0,5,2,39
2024-11-05,活塞,103-115(败),40,7-16,43.8%,1-2,50.0%,5-5,100%,8,11,2,0,1,1,20
2024-11-02,猛龙,131-125(胜),36,9-17,52.9%,5-8,62.5%,4-6,66.7%,6,10,1,0,0,1,27
2024-10-31,骑士,110-134(败),29,9-13,69.2%,1-3,33.3%,7-7,100%,6,3,0,0,6,2,26
2024-10-29,太阳,105-109(败),36,3-14,21.4%,2-5,40.0%,3-6,50.0%,5,8,1,0,2,1,11
2024-10-27,国王,127-131(胜),34,12-22,54.5%,4-9,44.4%,4-4,100%,14,10,0,1,5,3,32
2024-10-26,太阳,116-123(胜),35,7-13,53.8%,2-5,40.0%,5-8,62.5%,4,8,0,0,2,1,21
2024-10-23,森林狼,103-110(胜),35,7-16,43.8%,1-4,25.0%,1-1,100%,5,4,0,2,2,3,16
