日期,对手,比分,时间,投篮,命中率,三分,命中率,罚球,命中率,篮板,助攻,抢断,盖帽,失误,犯规,得分
2024-12-04,勇士,115-119(胜),40,14-24,58.3%,3-4,75.0%,7-9,77.8%,10,6,5,1,4,1,38
2024-12-02,快船,122-126(败),39,12-24,50.0%,2-7,28.6%,2-4,50.0%,14,11,1,1,5,3,28
2024-11-28,爵士,122-103(胜),34,13-19,68.4%,2-3,66.7%,2-3,66.7%,10,7,1,1,1,1,30
2024-11-26,尼克斯,145-118(败),32,9-20,45.0%,2-7,28.6%,2-2,100%,7,7,1,0,0,1,22
2024-11-24,湖人,127-102(胜),37,12-20,60.0%,3-7,42.9%,7-8,87.5%,13,8,2,1,6,3,34
2024-11-23,独行侠,123-120(败),39,13-22,59.1%,2-2,100%,5-7,71.4%,17,10,0,0,3,0,33
2024-11-11,独行侠,120-122(胜),38,13-21,61.9%,3-3,100%,8-8,100%,18,15,3,0,4,2,37
2024-11-09,热火,122-135(胜),40,11-13,84.6%,1-1,100%,7-7,100%,11,14,2,0,5,2,30
2024-11-07,雷霆,122-124(胜),39,9-20,45.0%,1-3,33.3%,4-6,66.7%,20,16,2,2,5,2,23
2024-11-05,猛龙,119-121(胜),38,10-22,45.5%,1-5,20.0%,7-8,87.5%,14,13,1,2,7,2,28
2024-11-03,爵士,103-129(胜),30,10-18,55.6%,3-4,75.0%,4-4,100%,16,9,1,0,5,1,27
2024-11-02,森林狼,116-119(败),40,8-16,50.0%,2-3,66.7%,8-10,80.0%,9,13,3,1,3,1,26
2024-10-30,篮网,144-139(胜),41,9-16,56.2%,0-0,0%,11-13,84.6%,18,16,0,1,1,3,29
2024-10-29,猛龙,127-125(胜),44,18-27,66.7%,3-5,60.0%,1-2,50.0%,10,4,1,2,3,2,40
2024-10-27,快船,109-104(败),37,14-26,53.8%,7-12,58.3%,6-8,75.0%,9,4,2,1,5,2,41
2024-10-25,雷霆,102-87(败),35,6-13,46.2%,1-3,33.3%,3-4,75.0%,12,13,2,1,3,3,16
