日期,对手,比分,时间,投篮,命中率,三分,命中率,罚球,命中率,篮板,助攻,抢断,盖帽,失误,犯规,得分
2024-12-04,掘金,115-119(败),34,8-23,34.8%,4-15,26.7%,4-4,100%,7,11,0,0,5,0,24
2024-12-01,太阳,105-113(败),32,8-21,38.1%,3-10,30.0%,4-5,80.0%,7,4,0,0,0,1,23
2024-11-26,篮网,128-120(败),29,8-17,47.1%,8-16,50.0%,4-4,100%,4,7,1,0,3,0,28
2024-11-24,马刺,94-104(败),32,5-16,31.2%,3-10,30.0%,1-1,100%,7,5,0,0,3,1,14
2024-11-23,鹈鹕,112-108(胜),33,6-13,46.2%,4-7,57.1%,3-3,100%,7,7,1,1,4,3,19
2024-11-21,老鹰,97-120(胜),30,7-10,70.0%,4-6,66.7%,5-5,100%,4,8,2,1,5,0,23
2024-11-19,快船,99-102(败),32,10-21,47.6%,6-15,40.0%,0-0,0%,7,6,0,1,3,1,26
2024-11-16,灰熊,118-123(胜),26,4-9,44.4%,3-7,42.9%,2-2,100%,8,5,4,0,3,2,13
2024-11-13,独行侠,117-120(胜),35,14-27,51.9%,5-12,41.7%,4-5,80.0%,6,9,1,2,4,2,37
2024-11-11,雷霆,127-116(胜),36,13-23,56.5%,7-13,53.8%,3-4,75.0%,5,7,1,1,3,2,36
2024-11-09,骑士,117-136(败),24,5-10,50.0%,1-4,25.0%,1-1,100%,1,2,2,0,6,0,12
2024-11-07,凯尔特人,118-112(胜),34,8-17,47.1%,4-9,44.4%,7-7,100%,7,9,4,1,3,2,27
2024-11-05,奇才,125-112(胜),24,7-15,46.7%,4-9,44.4%,6-6,100%,3,6,0,0,2,1,24
2024-10-28,快船,112-104(败),27,6-11,54.5%,4-7,57.1%,2-2,100%,4,6,2,1,6,1,18
2024-10-26,爵士,127-86(胜),27,7-20,35.0%,4-13,30.8%,2-2,100%,3,4,2,0,3,3,20
2024-10-24,开拓者,140-104(胜),25,4-10,40.0%,3-7,42.9%,6-6,100%,9,10,2,0,2,0,17
